Leasing,Spalanie W Cyklu Mieszanym,Generacja,Skrzynia biegów,Rok produkcji,Kierownica po prawej (Anglik),Pojemność skokowa,Pojemność baterii,Liczba pozostałych rat,Kraj pochodzenia,Opłata początkowa,Oferta od,Rodzaj paliwa,Wartość wykupu,Zarejestrowany jako zabytek,Rodzaj koloru,Moc,Rodzaj własności baterii,Gwarancja dealerska (w cenie),Napęd,Tuning,Kolor,Bezwypadkowy,Przebieg,Możliwość finansowania,Ma numer rejestracyjny,Data pierwszej rejestracji w historii pojazdu,Homologacja ciężarowa,Spalanie Poza Miastem,Model pojazdu,Liczba drzwi,VAT marża,Faktura VAT,Numer rejestracyjny pojazdu,Emisja CO2,Autonomia,Stan,Cena,lub do (przebieg km),Wersja,Miesięczna rata,Zarejestrowany w Polsce,Okres gwarancji producenta,Pokaż oferty z numerem VIN,Pierwszy właściciel (od nowości),Serwisowany w ASO,Liczba miejsc,Marka pojazdu,Spalanie W Mieście,Uszkodzony,Średnie zużycie,Typ nadwozia
,,,Automatyczna,2022,,3 996 cm3,,,Polska,,Firma,Benzyna,,,Metalik,480 KM,,,4x4 (dołączany automatycznie),,Srebrny,Tak,7 109 km,Tak,,29 wrzesień 2023,,,Panamera,5,,Tak,,,,Używane,669 000,,,,Tak,,Tak,Tak,Tak,4,Porsche,,,,Sedan
Tak,,,Automatyczna,2023,,,,,Polska,,Firma,Elektryczny,,,,,,,4x4 (stały),,Biały,Tak,,Tak,,,,,e-tron,,,Tak,,,,Nowe,386 200,,,,,,Tak,,,,Audi,,,,SUV
,,III (2021-),Automatyczna,2022,,1 332 cm3,,,Polska,,Firma,Benzyna,,,Perłowy,158 KM,,,Na przednie koła,,Biały,Tak,17 180 km,,Tak,27 październik 2023,,,Qashqai,5,,,WL8776T,,,Używane,109 900,100 000 km,1.3 DIG-T mHEV Acenta Xtronic,,Tak,2 Listopada 2025,Tak,Tak,Tak,5,Nissan,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,III (2008-2016),Manualna,2010,,1 998 cm3,,,,,Firma,Benzyna,,,Metalik,180 KM,,,Na przednie koła,,Czarny,,224 000 km,,Tak,10 wrzesień 2010,,6.0 l/100km,Megane,5,,,WN4648F,178 g/km,,Używane,23 900,,2.0 16V TCE Privilege,,Tak,,Tak,Tak,Tak,5,Renault,10 l/100km,,,Kombi
,,W167 (2019-),Automatyczna,2023,,2 999 cm3,,,,,Firma,Benzyna,,,,367 KM,,,4x4 (stały),,Szary,,18 000 km,,,,,6.0 l/100km,GLE,5,,,,190 g/km,,Używane,536 210,,450 4-Matic,,,,Tak,,,,Mercedes-Benz,10 l/100km,,,SUV
,,,Automatyczna,2023,,1 498 cm3,,,,,Firma,Benzyna,,,,150 KM,,,Na przednie koła,,Biały,Tak,5 km,,,,,,Formentor,5,,,,,,Nowe,154 400,,1.5 TSI DSG,,,,,,,5,Cupra,,,,SUV
,,,Automatyczna,2023,,1 498 cm3,,,,,Firma,Benzyna,,,Metalik,150 KM,,,Na przednie koła,,Szary,Tak,1 km,,,,,,Formentor,5,,,,,,Nowe,158 500,,1.5 TSI DSG,,,,,,,5,Cupra,,,,SUV
,,,Automatyczna,2023,,1 498 cm3,,,,,Firma,Benzyna,,,,150 KM,,,Na przednie koła,,Biały,Tak,5 km,,,,,,Formentor,5,,,,,,Nowe,157 200,,1.5 TSI DSG,,,,,,,5,Cupra,,,,SUV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Automatyczna,2023,,1 984 cm3,,,,,Firma,Benzyna,,,Metalik,245 KM,,,Na przednie koła,,Czarny,Tak,1 km,Tak,,,,,Formentor,5,,Tak,,,,Nowe,199 900,,2.0 TSI VZ DSG,,,,,,,5,Cupra,,,,SUV
,,,Manualna,2023,,1 968 cm3,,,,,Firma,Diesel,,,,150 KM,,,Na przednie koła,,Biały,Tak,5 km,,,,,,Formentor,5,,,,,,Nowe,153 000,,2.0 TDI,,,,,,,,Cupra,,,,SUV
